difficulty,catagory,question,correct_answer,incorrect_answers
easy,Entertainment: Video Games,"In Super Mario Bros., who informs Mario that the princess is in another castle?",Toad,Luigi,Yoshi,Bowser
easy,Animals,What do you call a baby bat?,Pup,Cub,Chick,Kid
easy,Entertainment: Video Games,Who is the leader of Team Instinct in Pokémon Go?,Spark,Candela,Blanche,Willow
easy,Geography,What is Laos?,Country,Region,River,City
easy,Science: Computers,Which programming language shares its name with an island in Indonesia?,Java,Python,C,Jakarta
easy,Entertainment: Japanese Anime & Manga,Which anime heavily features music from the genre "Eurobeat"?,Initial D,Wangan Midnight,Kino no Tabi,Cowboy Bebop
easy,Entertainment: Video Games,Who is the leader of Team Mystic in Pokémon Go?,Blanche,Candela,Spark,Willow
easy,Entertainment: Video Games,The “fairy” type made it’s debut in which generation of the Pokemon core series games?,6th,2nd,7th,4th
easy,Entertainment: Television,"In the original Star Trek TV series, what was Captain James T. Kirk&#039;s middle name?",Tiberius,Trevor,Travis,Tyrone
easy,Entertainment: Film,What was Bruce Campbell&#039;s iconic one-liner after getting a chainsaw hand in Evil Dead 2?,Groovy.,Gnarly.,Perfect.,Nice.
easy,General Knowledge,When someone is inexperienced they are said to be what color?,Green,Red,Blue,Yellow
easy,Science & Nature,What does LASER stand for?,Light amplification by stimulated emission of radiation,Lite analysing by stereo ecorazer,Light amplifier by standby energy of radio,Life antimatter by standing entry of range
easy,Entertainment: Film,"In the movie "Spaceballs", what are the Spaceballs attempting to steal from Planet Druidia?",Air,The Schwartz,Princess Lonestar,Meatballs
easy,Entertainment: Japanese Anime & Manga,Who was a voice actor for the English dubbing of HOWL&#039;S MOVING CASTLE (2004)?,Christian Bale,Matt Damon,Joseph Gordon-Levitt,Willem Dafoe
easy,Entertainment: Video Games,"In "Undertale", how many main endings are there?",3,2,5,13
easy,Art,Which Van Gogh painting depicts the view from his asylum in Saint-Rémy-de-Provence in southern France?,The Starry Night,Wheatfields with Crows,The Sower with Setting Sun,The Church at Auvers
easy,Geography,What is the smallest country in the world?,Vatican City,Maldives,Monaco,Malta
easy,Entertainment: Video Games,Which of these is NOT a player class in Team Fortress 2?,Healer,Demoman,Pyro,Spy
easy,Entertainment: Video Games,Which eSports team came first place in The International Dota 2 Championship 2016?,Wings Gaming,Digital Chaos,Evil Geniuses,Fnatic
easy,Geography,The body of the Egyptian Sphinx was based on which animal?,Lion,Bull,Horse,Dog
easy,Sports,Which country hosted the 2020 Summer Olympics?,Japan,China,Australia,Germany
easy,Entertainment: Video Games,"Which of the following Pokemon Types was present in the original games, Red and Blue?",Ice,Steel,Dark,Fairy
easy,Geography,The longest shared border in the world can be found between which two nations?,Canada and the United States,Chile and Argentina,Russia and China,India and Pakistan
easy,Entertainment: Music,"Which artist released the 2012 single "Harlem Shake", which was used in numerous YouTube videos in 2013?",Baauer,RL Grime,NGHTMRE,Flosstradamus
easy,General Knowledge,What word represents the letter &#039;T&#039; in the NATO phonetic alphabet?,Tango,Target,Taxi,Turkey
easy,Entertainment: Television,The HBO series "Game of Thrones" is based on which series of books?,A Song of Ice and Fire,The Wheel of Time,Harry Potter,The Notebook
easy,Entertainment: Video Games,"If a "360 no-scope" is one full rotation before shooting, how many rotations would a "1080 no-scope" be?",3,4,2,5
easy,Entertainment: Japanese Anime & Manga,What year did "Attack on Titan" first air?,2013,2014,2012,2015
easy,Entertainment: Video Games,Which of these is NOT a playable character in "Left 4 Dead"?,Nick,Louis,Zoey,Bill
easy,Entertainment: Video Games,Who is the writer of the game "Half-Life"?,Marc Laidlaw,Gabe Newell,Robin Walker,Chet Faliszek
easy,General Knowledge,Which of the following presidents is not on Mount Rushmore?,John F. Kennedy,Theodore Roosevelt,Abraham Lincoln,Thomas Jefferson
easy,Entertainment: Film,Who wrote and directed the 1986 film &#039;Platoon&#039;?,Oliver Stone,Francis Ford Coppola,Stanley Kubrick,Michael Cimino
easy,Entertainment: Music,Kanye West at 2009 VMA&#039;s interrupted which celebrity?,Taylor Swift,MF DOOM,Beyonce,Beck
easy,History,"In 1939, Britain and France declared war on Germany after it invaded which country?",Poland,Czechoslovakia,Austria,Hungary
easy,Entertainment: Music,Who is the lead singer of Pearl Jam?,Eddie Vedder,Ozzy Osbourne,Stone Gossard,Kurt Cobain
easy,Entertainment: Video Games,Which of the following is not a faction in Tom Clancy&#039;s The Division?,CDC,Cleaners,Last Man Batallion,Rikers
easy,Entertainment: Video Games,"In the game "Hearthstone", what is the best rank possible?",Rank 1 Legend,Rank 1 Elite,Rank 1 Master,Rank 1 Supreme
easy,Science & Nature,What does the letter &#039;S&#039; stand for in &#039;NASA&#039;?,Space,Science,Society,Star
easy,Entertainment: Video Games,In what year was "Metal Gear Solid" released in North America?,1998,1987,2001,2004
easy,Celebrities,What does film maker Dan Bell typically focus his films on?,Abandoned Buildings and Dead Malls,Historic Landmarks,Action Films,Documentaries
easy,Geography,What is the name of New Zealand&#039;s indigenous people?,Maori,Vikings,Polynesians,Samoans
easy,Science & Nature,71% of the Earth&#039;s surface is made up of,Water,Deserts,Continents,Forests
easy,Entertainment: Board Games,How many dice are used in the game of Yahtzee?,Five,Four,Six,Eight
easy,Entertainment: Film,Which of these actors/actresses is NOT a part of the cast for the 2016 movie "Suicide Squad"?,Scarlett Johansson,Jared Leto,Will Smith,Margot Robbie
easy,Entertainment: Television,"On the show "Rick and Morty", in episode "Total Rickall", who was a parasite?",Pencilvester,Beth Smith,Summer Smith,Mr. Poopy Butthole
easy,Entertainment: Video Games,When was Minecraft first released to the public?,"May 17th, 2009","September 17th, 2009","November 18th, 2011","October 7th, 2011"
easy,Entertainment: Video Games,Which Nintendo 64 game did NOT have Luigi in it?,Super Mario 64,Mario Party 2,Paper Mario,Super Smash Bros.
easy,General Knowledge,"According to the nursery rhyme, what fruit did Little Jack Horner pull out of his Christmas pie?",Plum,Apple,Peach,Pear
easy,Science: Computers,The programming language &#039;Swift&#039; was created to replace what other programming language?,Objective-C,C#,Ruby,C++
